date,node,country,transport,version,lower,upper,clients,frac
2019-02-05,bridge,lv,,,,,36,79
2019-02-05,bridge,ly,,,,,20,79
2019-02-05,bridge,ma,,,,,147,79
2019-02-05,bridge,mc,,,,,0,79
2019-02-05,bridge,md,,,,,61,79
2019-02-05,bridge,me,,,,,4,79
2019-02-05,bridge,mg,,,,,22,79
2019-02-05,bridge,mh,,,,,2,79
2019-02-05,bridge,mk,,,,,11,79
2019-02-05,bridge,ml,,,,,9,79
2019-02-05,bridge,mm,,,,,40,79
2019-02-05,bridge,mn,,,,,32,79
2019-02-05,bridge,mo,,,,,4,79
2019-02-05,bridge,mq,,,,,2,79
2019-02-05,bridge,mr,,,,,3,79
2019-02-05,bridge,mt,,,,,8,79
2019-02-05,bridge,mu,,,,,13,79
2019-02-05,bridge,mv,,,,,5,79
2019-02-05,bridge,mw,,,,,3,79
2019-02-05,bridge,mx,,,,,362,79
2019-02-05,bridge,my,,,,,108,79
2019-02-05,bridge,mz,,,,,7,79
2019-02-05,bridge,na,,,,,6,79
2019-02-05,bridge,nc,,,,,2,79
2019-02-05,bridge,ne,,,,,2,79
2019-02-05,bridge,nf,,,,,2,79
2019-02-05,bridge,ng,,,,,137,79
2019-02-05,bridge,ni,,,,,17,79
2019-02-05,bridge,nl,,,,,484,79
2019-02-05,bridge,no,,,,,80,79
2019-02-05,bridge,np,,,,,65,79
2019-02-05,bridge,nz,,,,,74,79
2019-02-05,bridge,om,,,,,72,79
2019-02-05,bridge,pa,,,,,8,79
2019-02-05,bridge,pe,,,,,45,79
2019-02-05,bridge,pf,,,,,5,79
2019-02-05,bridge,pg,,,,,5,79
2019-02-05,bridge,ph,,,,,255,79
2019-02-05,bridge,pk,,,,,203,79
2019-02-05,bridge,pl,,,,,298,79
2019-02-05,bridge,pr,,,,,18,79
2019-02-05,bridge,ps,,,,,22,79
2019-02-05,bridge,pt,,,,,82,79
2019-02-05,bridge,pw,,,,,3,79
2019-02-05,bridge,py,,,,,15,79
2019-02-05,bridge,qa,,,,,38,79
2019-02-05,bridge,re,,,,,9,79
2019-02-05,bridge,ro,,,,,205,79
2019-02-05,bridge,rs,,,,,51,79
2019-02-05,bridge,ru,,,,,8246,79
2019-02-05,bridge,rw,,,,,12,79
2019-02-05,bridge,sa,,,,,336,79
2019-02-05,bridge,sb,,,,,0,79
2019-02-05,bridge,sc,,,,,6,79
2019-02-05,bridge,sd,,,,,79,79
2019-02-05,bridge,se,,,,,186,79
2019-02-05,bridge,sg,,,,,105,79
2019-02-05,bridge,si,,,,,22,79
2019-02-05,bridge,sk,,,,,56,79
2019-02-05,bridge,sl,,,,,3,79
2019-02-05,bridge,sn,,,,,20,79
2019-02-05,bridge,so,,,,,6,79
2019-02-05,bridge,sr,,,,,2,79
2019-02-05,bridge,ss,,,,,1,79
2019-02-05,bridge,sv,,,,,13,79
2019-02-05,bridge,sx,,,,,4,79
2019-02-05,bridge,sy,,,,,30,79
2019-02-05,bridge,sz,,,,,3,79
