date,type,wmean,wmedian,wiqm,frac,stats
2019-02-05,rend-relayed-cells,31791952166,32364232082,32180034304,0.32865100,1603
2019-02-06,rend-relayed-cells,32220806484,32844664198,32559264412,0.17259100,875
2019-02-05,dir-onions-seen,112147,110606,110702,0.32654000,1179
2019-02-06,dir-onions-seen,112326,110306,110311,0.16792300,637
